"employees","employee_salaries","salary_adjustments","salaries_2018","employee_has_raise"
"1","Employee 1",44148.3806585893,3956.78601693362,48105.1666755229,TRUE
"2","Employee 2",47998.1786618009,-2483.68671978824,45514.4919420127,FALSE
"3","Employee 3",49662.8992096521,-524.108748650178,49138.7904610019,FALSE
"4","Employee 4",42219.052654691,7569.88418987021,49788.9368445612,TRUE
"5","Employee 5",42768.2633697987,-3534.66413798742,39233.5992318112,FALSE
"6","Employee 6",41100.793723017,1387.85941526294,42488.6531382799,TRUE
"7","Employee 7",40190.4960582033,8592.63346763328,48783.1295258366,TRUE
"8","Employee 8",41687.5961795449,9438.93455434591,51126.5307338908,TRUE
"9","Employee 9",48825.6515259854,168.388780439273,48994.0403064247,TRUE
"10","Employee 10",48035.7160558924,7045.45167041942,55081.1677263118,TRUE
"11","Employee 11",43193.5885967687,-4433.25128173456,38760.3373150341,FALSE
"12","Employee 12",42934.5715744421,7449.66689031571,50384.2384647578,TRUE
"13","Employee 13",42590.0276890025,-2365.72573776357,40224.3019512389,FALSE
"14","Employee 14",48988.0126854405,5852.900960017,54840.9136454575,TRUE
"15","Employee 15",41348.8093228079,-2372.57579923607,38976.2335235719,FALSE
"16","Employee 16",45591.5605742484,9159.73368450068,54751.2942587491,TRUE
"17","Employee 17",45515.4668330215,-2527.93340710923,42987.5334259123,FALSE
"18","Employee 18",49058.312268462,5583.04806356318,54641.3603320252,TRUE
"19","Employee 19",45903.1967399642,4154.78616254404,50057.9829025082,TRUE
"20","Employee 20",49865.4803587124,-421.168074244633,49444.3122844677,FALSE
"21","Employee 21",47789.0414674766,27.8321467339993,47816.8736142106,TRUE
"22","Employee 22",43851.3539847918,-1001.22697884217,42850.1270059496,FALSE
"23","Employee 23",43614.6878707223,3084.35041457415,46699.0382852964,TRUE
"24","Employee 24",44269.2254530266,818.659842479974,45087.8852955066,TRUE
"25","Employee 25",49445.5237616785,1893.47484498285,51338.9986066613,TRUE
"26","Employee 26",42201.5629545785,-4409.5197529532,37792.0432016253,FALSE
"27","Employee 27",40173.7948530354,3812.41211434826,43986.2069673836,TRUE
"28","Employee 28",43376.5023923479,2810.90092030354,46187.4033126514,TRUE
"29","Employee 29",47205.3185198456,-1383.98004928604,45821.3384705596,FALSE
"30","Employee 30",44242.935506627,-2203.48947914317,42039.4460274838,FALSE
"31","Employee 31",44819.1833449528,-3007.44642387144,41811.7369210813,FALSE
"32","Employee 32",42502.5679450482,-4023.98180216551,38478.5861428827,FALSE
"33","Employee 33",44090.1408344507,1692.42598116398,45782.5668156147,TRUE
"34","Employee 34",47337.1086176485,1692.12096720003,49029.2295848485,TRUE
"35","Employee 35",49494.6372695267,-2820.1125189662,46674.5247505605,FALSE
"36","Employee 36",49404.2423553765,4316.8479797896,53721.0903351661,TRUE
"37","Employee 37",41583.6355509236,4906.40234784223,46490.0378987659,TRUE
"38","Employee 38",46944.2227762192,7175.57937256061,54119.8021487799,TRUE
"39","Employee 39",46409.874050878,6942.8747985512,53352.7488494292,TRUE
"40","Employee 40",40027.7439737692,1843.72824267484,41871.4722164441,TRUE
"41","Employee 41",40641.0006573424,7626.96959194727,48267.9702492896,TRUE
"42","Employee 42",48010.9324934892,-3643.76956946217,44367.1629240271,FALSE
"43","Employee 43",48629.3234070763,5358.35237358697,53987.6757806633,TRUE
"44","Employee 44",42226.0793345049,9573.32678022794,51799.4061147328,TRUE
"45","Employee 45",46370.9380012006,-926.93094862625,45444.0070525743,FALSE
"46","Employee 46",44865.1888477616,-4392.86457607523,40472.3242716864,FALSE
"47","Employee 47",42242.1008371748,724.49230006896,42966.5931372438,TRUE
"48","Employee 48",44323.7448786385,-15.4199474491179,44308.3249311894,FALSE
"49","Employee 49",47405.0310091116,-2659.08590517938,44745.9451039322,FALSE
"50","Employee 50",47876.3510752469,-3953.55905289762,43922.7920223493,FALSE
"51","Employee 51",40470.5991246738,2795.05293816328,43265.652062837,TRUE
"52","Employee 52",40935.4480868205,1356.01603775285,42291.4641245734,TRUE
"53","Employee 53",46925.0372494571,-2344.18584615923,44580.8514032979,FALSE
"54","Employee 54",48800.0810402445,1520.130810095,50320.2118503395,TRUE
"55","Employee 55",45214.5439200103,910.879605216905,46125.4235252272,TRUE
"56","Employee 56",40128.6161132157,8501.78513443097,48630.4012476467,TRUE
"57","Employee 57",48397.7082138881,136.228678748012,48533.9368926361,TRUE
"58","Employee 58",47414.9760068394,7706.92185964435,55121.8978664838,TRUE
"59","Employee 59",42783.1136784516,3923.67578460835,46706.78946306,TRUE
"60","Employee 60",43621.2987382896,-556.219865102321,43065.0788731873,FALSE
"61","Employee 61",46658.3899455145,-2136.2159086857,44522.1740368288,FALSE
"62","Employee 62",41946.9095487148,5460.79325606115,47407.7028047759,TRUE
"63","Employee 63",45765.8642274328,6252.49810400419,52018.3623314369,TRUE
"64","Employee 64",47637.7797406167,854.568443028256,48492.3481836449,TRUE
"65","Employee 65",45075.5677814595,4241.71091639437,49317.2786978539,TRUE
"66","Employee 66",48681.2128080055,-3084.5867167227,45596.6260912828,FALSE
"67","Employee 67",46479.4886414893,5502.13665817864,51981.6252996679,TRUE
"68","Employee 68",46404.1464659385,5165.97243724391,51570.1189031824,TRUE
"69","Employee 69",42340.4995212331,-4777.37796842121,37563.1215528119,FALSE
"70","Employee 70",49511.7065939121,-2819.29269549437,46692.4138984177,FALSE
"71","Employee 71",49490.0216348469,6574.15305147879,56064.1746863257,TRUE
"72","Employee 72",41917.5222865306,-532.656379509717,41384.8659070209,FALSE
"73","Employee 73",42492.9957650602,0.558621250092983,42493.5543863103,TRUE
"74","Employee 74",45836.1941296607,7587.13773684576,53423.3318665065,TRUE
"75","Employee 75",49183.2495853305,-4990.34405103885,44192.9055342916,FALSE
"76","Employee 76",49443.7149376608,384.114960907027,49827.8298985679,TRUE
"77","Employee 77",44301.6010080464,3935.98427763209,48237.5852856785,TRUE
"78","Employee 78",47844.200397376,-4646.96896262467,43197.2314347513,FALSE
